median_house_value,ocean_proximity_enc,longitude,latitude,housing_median_age,median_income,rooms_per_bedroom,rooms_per_household,people_per_household,X1,X2
452600,3,-122.23,37.88,41,8.3252,6.821705426356589,6.984126984126984,2.5555555555555554,4.407573927585747,3.6814179367305933
358500,3,-122.22,37.86,21,8.3014,6.418625678119349,6.238137082601054,2.109841827768014,6.973484162340669,7.630215827509396
352100,3,-122.24,37.85,52,7.2574,7.721052631578948,8.288135593220339,2.8022598870056497,9.889934984945059,-0.9323539110638954
341300,3,-122.25,37.85,52,5.6431,5.421276595744681,5.8173515981735155,2.547945205479452,0.7298811904859823,6.846393185308417
342200,3,-122.25,37.85,52,3.8462,5.810714285714286,6.281853281853282,2.1814671814671813,6.668963663336386,3.878034486990134
269700,3,-122.25,37.85,52,4.0368,4.314553990610329,4.761658031088083,2.139896373056995,5.326665774925477,-2.0755381579543597
299200,3,-122.25,37.84,52,3.6591,5.184049079754601,4.9319066147859925,2.1284046692607004,4.0345691594853035,9.893862300447699
241400,3,-122.25,37.84,52,3.12,4.518195050946143,4.797527047913447,1.7882534775888717,3.4249313393777685,-5.779514893983869
226700,3,-122.26,37.84,42,2.0804,3.8421052631578942,4.294117647058823,2.026890756302521,2.713201264971328,5.679405320369454
261100,3,-122.25,37.84,52,3.6912,5.01980198019802,4.970588235294118,2.172268907563025,3.2397263221098123,5.099225835533038
281500,3,-122.26,37.85,52,3.2031,5.073732718894009,5.477611940298507,2.263681592039801,4.119347319386915,5.905913342931919
241800,3,-122.26,37.85,52,3.2705,4.658244680851064,4.772479564032698,2.0490463215258856,2.6614717911316563,8.014010724447425
213500,3,-122.26,37.85,52,3.075,5.255274261603375,5.322649572649572,2.3461538461538463,3.7027664723273954,6.752360676970712
191300,3,-122.26,37.84,52,2.6736,3.643979057591623,4,1.9827586206896552,3.772896692144162,1.1714357882744433
159200,3,-122.26,37.85,52,1.9167,4.222044728434505,4.262903225806451,1.9548387096774191,6.1410328463760475,6.680856159437988
140000,3,-122.26,37.85,50,2.125,3.957597173144877,4.242424242424242,2.640151515151515,3.7370261843633283,8.800470821243433
152500,3,-122.27,37.85,52,2.775,5.665706051873199,5.9395770392749245,2.395770392749245,4.643687040259914,4.740786728039166
